epoch,accuracy,dice_coef,loss,precision,sensitivity,specificity
0,0.5529514,0.5129049,0.8431979931063123,0.5529514,0.5529514,0.5529514
1,0.6817376,0.5904198,0.5930740385190815,0.6753472,0.6753472,0.6753472
2,0.83156025,0.75825334,0.3764052435438684,0.8298611,0.8298611,0.8298611
3,0.8927305,0.8252665,0.26877877517794885,0.8897569,0.8897569,0.8897569
4,0.91932625,0.87987256,0.21034283259658948,0.9184028,0.9184028,0.9184028
5,0.93971634,0.90716064,0.15064789006050597,0.9383681,0.9383681,0.9383681
6,0.94414896,0.90818596,0.14846706237141968,0.9427083,0.9427083,0.9427083
7,0.9574468,0.93942845,0.1024678595271622,0.9583333,0.9583333,0.9583333
8,0.96631205,0.9480708,0.09866990774856708,0.9670139,0.9670139,0.9670139
9,0.9751773,0.954878,0.07097223879280665,0.9730903,0.9730903,0.9730903
